data	One_1	One_3	One_4	One_9	One_11	One_12	One_14	One_15	One_16	One_20	One_23	One_25	One_30
Two_4	0	0	0	0	0	0	0	11	0	0	0	0	0
Two_1	0	0	0	8	0	0	0	0	0	0	0	0	0
Two_6	0	0	0	0	0	6	0	0	0	0	0	0	0
Two_16	0	0	0	0	5	0	0	0	0	0	0	0	0
Two_9	0	0	5	0	0	0	0	0	0	0	0	0	0
Two_21	0	0	0	0	0	0	7	0	0	0	0	0	0
Two_20	0	0	0	0	0	0	0	0	0	0	0	5	0
Two_13	0	0	0	0	0	0	0	0	3	0	0	0	0
Two_7	0	0	0	0	0	0	0	0	0	0	16	0	0
Two_3	2	0	0	0	0	0	0	0	0	0	0	0	0
Two_10	0	0	0	0	0	0	0	0	0	10	0	0	0
Two_12	0	9	0	0	0	0	0	0	0	0	0	0	0
Two_5	0	0	0	0	0	0	0	0	0	0	0	0	25
