data	One_1	One_2	One_8	One_9	One_10	One_11	One_13	One_15	One_16	One_19	One_21	One_23	One_24	One_25	One_26	One_27	One_28	One_29
Two_23	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Two_2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_11	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Two_27	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Two_9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
Two_6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Two_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Two_26	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Two_28	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Two_1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Two_8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
Two_18	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Two_12	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Two_30	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
