data	One_1	One_2	One_3	One_4	One_6	One_9	One_10	One_11	One_13	One_14	One_15	One_16	One_17	One_23	One_24	One_25	One_27	One_28
Two_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Two_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Two_20	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Two_18	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Two_6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_17	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_21	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_26	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Two_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Two_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
Two_14	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Two_16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Two_4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Two_13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Two_24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Two_25	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_11	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
