data	One_1	One_4	One_7	One_9	One_10	One_12	One_13	One_15	One_16	One_17	One_18	One_20	One_23	One_29	One_30
Two_3	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
Two_2	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
Two_30	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
Two_6	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Two_14	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Two_11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Two_12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_23	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Two_16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Two_19	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Two_15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Two_22	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Two_5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Two_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
