data	One_1	One_3	One_4	One_7	One_8	One_9	One_13	One_15	One_16	One_17	One_19	One_20	One_26
Two_25	0	0	0	0	17	0	0	0	0	0	0	0	0
Two_21	0	0	0	0	0	0	0	0	0	0	0	0	5
Two_18	0	0	0	0	0	0	0	0	0	0	0	2	0
Two_1	0	0	0	0	0	0	0	0	15	0	0	0	0
Two_9	0	6	0	0	0	0	0	0	0	0	0	0	0
Two_7	0	0	0	0	0	0	0	8	0	0	0	0	0
Two_6	0	0	0	0	0	0	7	0	0	0	0	0	0
Two_15	0	0	0	0	0	0	0	0	0	2	0	0	0
Two_2	1	0	0	0	0	0	0	0	0	0	0	0	0
Two_28	0	0	0	21	0	0	0	0	0	0	0	0	0
Two_4	0	0	0	0	0	5	0	0	0	0	0	0	0
Two_12	0	0	8	0	0	0	0	0	0	0	0	0	0
Two_22	0	0	0	0	0	0	0	0	0	0	3	0	0
