data	One_1	One_3	One_4	One_5	One_6	One_7	One_9	One_10	One_13	One_17	One_19	One_24	One_25	One_29
Two_14	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Two_12	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Two_29	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Two_20	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Two_6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Two_5	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_11	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Two_1	0	0	0	0	0	0	0	0	0	0	18	0	0	0
Two_16	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Two_10	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Two_28	0	0	0	23	0	0	0	0	0	0	0	0	0	0
Two_3	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Two_4	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Two_22	0	0	0	0	16	0	0	0	0	0	0	0	0	0
