data	One_1	One_2	One_3	One_4	One_5	One_6	One_8	One_9	One_12	One_14	One_15	One_18	One_22	One_23	One_26	One_27	One_28
Two_6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_25	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Two_20	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_12	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Two_8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Two_30	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Two_15	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_7	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Two_18	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Two_26	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_29	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
Two_4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Two_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
Two_11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Two_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Two_10	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Two_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
